section,subject_name,category_cn,category_en,default_authoring_root,runtime_owner_or_entry,room_direct_consume,component_autonomous,state_channel_or_save,validator_covered,sample_scene_instances,sample_scene_live_status,authoring_maturity,final_conclusion,evidence_notes
"summary","SampleScene_Rooms","","","","","","","","17","当前场景存在 17 个 Room 实例","场景已进入房间 authoring 阶段","这不是只有代码没有场景的模块，已经有真实房间实例可供验证","来自 Unity 场景统计结果"
"summary","StandardRootCoverage","","","","","","","","2/17","只有 2 个房间完整具备 Navigation/Elements/Encounters/Hazards/Decoration/Triggers/CameraConfiner 标准根节点","authoring 仍处于混合态 / 过渡态","规范已建立，但现役场景还没有全面迁入标准房间语法","`Room_Start` 等旧房更偏历史挂法，`--- Sheba Level ---` 这批新房更接近标准语法"
"summary","CurrentLiveCoreSet","","","","","","","","","Door / Checkpoint / Lock / PickupBase / EnemySpawner / ArenaController / EnvironmentHazard","当前场景的主流可验证集合","如果要继续关卡验证，优先围绕这批已进场景的元素推进","它们同时满足“代码可跑”与“场景里已有实例”两个条件"
"summary","NotYetLaidOutSet","","","","","","","","","DestroyableObject / OpenEncounterTrigger / BiomeTrigger / HiddenAreaMask / ScheduledBehaviour / ActivationGroup / WorldEventTrigger / CameraTrigger","代码已支持但当前场景未铺开","这些元素不能算现役场景主流，只能算系统已具备能力但内容还没铺","`SampleScene` 中当前实例数均为 0"
"summary","JsonElementsImport","","","","","","","","","rooms[].elements[] 当前不会自动生成场景对象","编辑期 schema 不是运行时主链","不能把 LevelDesigner / Scaffold 的元素字段误判为 Unity 现役可消费 authority","`LevelDesigner_JSON_Field_Matrix.csv` 明确写明 `rooms[].elements[].type` 与 `position` 当前均不被 Unity 导入"
"summary","CheckpointConfigIssues","","","","","","","","3 issues","Checkpoint 链已进入场景，但配置还没有完全收尾","现役可用但仍需补配置","当前已知问题集中在 Checkpoint collider trigger 与 CheckpointSO 缺失","`LevelValidator` 当前报 3 个问题：`Checkpoint_Hub` collider 不是 Trigger；`Checkpoint_Hub` 缺 `CheckpointSO`；`Checkpoint_Start` 缺 `CheckpointSO`"
"element","Door","通路件","Path","Navigation","Room + RoomManager + Door","是","是","Door 连接关系 + RoomManager 过门流程","是","大量","当前场景最普遍的房间元素","现役成熟","它是当前 Level 场景 authoring 最成熟、铺设最广的元素之一","`Room` 会主动收集 Door，`SampleScene` 中各房间普遍存在 Door"
"element","SpawnPoint","基础设施件","Infrastructure","Navigation/SpawnPoints + Encounters/SpawnPoints","Room + Door + RoomManager","是","否","作为出生点 / 入口落点被流程消费","部分","未单独统计","随房间 authoring 广泛存在","现役基础设施","它属于房间基础设施而不是独立玩法元素，但已经进入 `Room` 主链","`Room` 当前会主动收集 `SpawnPoints`"
"element","CameraConfiner","基础设施件","Infrastructure","CameraConfiner","RoomCameraConfiner + CameraDirector","是","否","相机边界由房间切换时注入","部分","未单独统计","作为房间边界基础设施存在","现役基础设施","它是房间镜头边界链的一部分，不应与普通房间元素混为一类","标准房间语法要求存在 `CameraConfiner` 根节点"
"element","Checkpoint","交互件","Interact","Elements","Checkpoint + CheckpointManager","否","是","CheckpointManager + SaveBridge","是","2","场景内已有实例，但配置未完全收尾","现役成熟","可直接在 Unity 中实装和验证，但当前 `SampleScene` 的配置还没完全收尾","已知问题：`Checkpoint_Hub` collider 不是 Trigger；`Checkpoint_Hub` 与 `Checkpoint_Start` 缺 `CheckpointSO`"
"element","Lock","交互件","Interact","Elements","Lock + Door + KeyInventory","否","是","依赖 KeyInventory 与 Door 交互，无独立 SaveBridge 主链","是","1","场景内已有实例","现役成熟","它已经是可直接 authoring 的交互件，但更偏组件自治而非 `Room` 主链元素","`LevelValidator` 已纳入 Lock 的挂点与关键引用校验"
"element","PickupBase","交互件","Interact","Elements","PickupBase 及其派生物","否","是","通常无统一持久化主链","否","2","场景内已有实例","现役成熟","代码可跑且场景已挂，但尚未进入 `Room` 主链和 `LevelValidator` 的官方护栏","当前代表实现包括 `KeyPickup`、`HealthPickup`、`HeatPickup`"
